TIA,TIA,Tirana,Tirana,Albania
EVN,EVN,Yerevan Zvartnots,Yerevan,Armenia
GRZ,GRZ,Graz,Graz,Austria
INN,INN,Innsbruck,Innsbruck,Austria
KLU,KLU,Klagenfurt,Klagenfurt,Austria
LNZ,LNZ,Linz,Linz,Austria
SZG,SZG,Salzburg,Salzburg,Austria
VIE,VIE,Vienna,Vienna,Austria
MSQ,MSQ,Minsk,Minsk,Belarus
ANR,ANR,Antwerp,Antwerp,Belgium
BRU,BRU,Brussels,Brussels,Belgium
CRL,CRL,Charleroi,Charleroi,Belgium
LGG,LGG,Liege,Liege,Belgium
OST,OST,Ostend Bruges,Bruges,Belgium
OST,OST,Ostend Bruges,Ostend,Belgium
SJJ,SJJ,Sarajevo,Sarajevo,Bosnia and Herzegovina
TZL,TZL,Tuzla,Tuzla,Bosnia and Herzegovina
BOJ,BOJ,Burgas,Burgas,Bulgaria
SOF,SOF,Sofia,Sofia,Bulgaria
VAR,VAR,Varna,Varna,Bulgaria
DBV,DBV,Dubrovnik,Dubrovnik,Croatia
PUY,PUY,Pula,Pula,Croatia
RJK,RJK,Rijeka Krk,Rijeka,Croatia
SPU,SPU,Split,Split,Croatia
ZAD,ZAD,Zadar,Zadar,Croatia
ZAG,ZAG,Zagreb,Zagreb,Croatia
LCA,LCA,Larnaca,Larnaca,Cyprus
PFO,PFO,Paphos,Paphos,Cyprus
BRQ,BRQ,Brno,Brno,Czech Republic
PRG,PRG,Prague,Prague,Czech Republic
AAL,AAL,Aalborg,Aalborg,Denmark
AAR,AAR,Aarhus,Aarhus,Denmark
BLL,BLL,Billund,Billund,Denmark
CPH,CPH,Copenhagen,Copenhagen,Denmark
FAE,FAE,Vagar,Vagar,Denmark
TLL,TLL,Tallinn,Tallinn,Estonia
HEL,HEL,Helsinki,Helsinki,Finland
KTT,KTT,Kittilae,Kittilae,Finland
OUL,OUL,Oulu,Oulu,Finland
RVN,RVN,Rovaniemi,Rovaniemi,Finland
TMP,TMP,Tampere,Tampere,Finland
TKU,TKU,Turku,Turku,Finland
VAA,VAA,Vaasa,Vaasa,Finland
AJA,AJA,Ajaccio,Ajaccio,France
BIA,BIA,Bastia,Bastia,France
EGC,EGC,Bergerac,Bergerac,France
BIQ,BIQ,Biarritz,Biarritz,France
BOD,BOD,Bordeaux,Bordeaux,France
BES,BES,Brest Bretagne,Brest,France
FSC,FSC,Figari South Corsica,Figari,France
LIL,LIL,Lille,Lille,France
LYS,LYS,Lyon-Saint Exupery,Lyon,France
MRS,MRS,Marseille,Marseille,France
MPL,MPL,Montpellier,Montpellier,France
NTE,NTE,Nantes,Nantes,France
NCE,NCE,Nice,Nice,France
BVA,PAR,Paris Beauvais,Paris,France
CDG,PAR,Paris Charles de Gaulle,Paris,France
ORY,PAR,Paris Orly,Paris,France
RNS,RNS,Rennes Bretagne,Rennes,France
RUN,RUN,Reunion Roland Garros,Reunion,France
SXB,SXB,Strasbourg,Strasbourg,France
TLN,TLN,Toulon-Hyres,Hyres,France
TLN,TLN,Toulon-Hyres,Toulon,France
TLS,TLS,Toulouse Blagnac,Blagnac,France
TLS,TLS,Toulouse Blagnac,Toulouse,France
KUT,KUT,Kutaisi,Kutaisi,Georgia
TBS,TBS,Tbilisi,Tbilisi,Georgia
FMM,FMM,Allgaeu,Allgaeu,Germany
BER,BER,Berlin Brandenburg,Berlin,Germany
BRE,BRE,Bremen,Bremen,Germany
CGN,CGN,Cologne Bonn,Bonn,Germany
CGN,CGN,Cologne Bonn,Cologne,Germany
DTM,DTM,Dortmund,Dortmund,Germany
DRS,DRS,Dresden,Dresden,Germany
DUS,DUS,Duesseldorf,Duesseldorf,Germany
FRA,FRA,Frankfurt,Frankfurt,Germany
HHN,FRA,Frankfurt-Hahn,Frankfurt,Germany
FDH,FDH,Friedrichshafen,Friedrichshafen,Germany
HAM,HAM,Hamburg,Hamburg,Germany
HAJ,HAJ,Hanover,Hanover,Germany
FKB,FKB,Karlsruhe Baden-Baden,Karlsruhe,Germany
FKB,FKB,Karlsruhe Baden-Baden,Baden-Baden,Germany
LEJ,LEJ,Leipzig Halle,Leipzig,Germany
LEJ,LEJ,Leipzig Halle,Halle,Germany
MUC,MUC,Munich,Munich,Germany
FMO,FMO,Muenster Osnabrueck,Osnabrueck,Germany
FMO,FMO,Muenster Osnabrueck,Muenster,Germany
NUE,NUE,Nuremberg,Nuremberg,Germany
PAD,PAD,Paderborn Lippstadt,Paderborn,Germany
PAD,PAD,Paderborn Lippstadt,Lippstadt,Germany
STR,STR,Stuttgart,Stuttgart,Germany
NRN,NRN,Weeze,Weeze,Germany
PVK,PVK,Aktion,Aktion,Greece
ATH,ATH,Athens,Athens,Greece
CHQ,CHQ,Chania,Chania,Greece
CFU,CFU,Corfu,Corfu,Greece
HER,HER,Heraklion,Heraklion,Greece
EFL,EFL,Kefalonia,Kefalonia,Greece
KGS,KGS,Kos,Kos,Greece
MJT,MJT,Lesvos Mytilene,Mytilene,Greece
MJT,MJT,Lesvos Mytilene,Lesvos,Greece
JMK,JMK,Mykonos,Mykonos,Greece
RHO,RHO,Rhodes,Rhodes,Greece
SMI,SMI,Samos,Samos,Greece
JTR,JTR,Santorini,Santorini,Greece
JSI,JSI,Skiathos,Skiathos,Greece
SKG,SKG,Thessaloniki,Thessaloniki,Greece
ZTH,ZTH,Zante,Zante,Greece
BUD,BUD,Budapest,Budapest,Hungary
DEB,DEB,Debrecen,Debrecen,Hungary
KEF,KEF,Keflavik,Keflavik,Iceland
ORK,ORK,Cork,Cork,Ireland
DUB,DUB,Dublin,Dublin,Ireland
NOC,NOC,Ireland West,Knock,Ireland
KIR,KIR,Kerry,Kerry,Ireland
SNN,SNN,Shannon,Shannon,Ireland
AHO,AHO,Alghero,Alghero,Italy
AOI,AOI,Ancona,Ancona,Italy
BRI,BRI,Bari,Bari,Italy
BGY,BGY,Bergamo,Bergamo,Italy
BLQ,BLQ,Bologna,Bologna,Italy
BDS,BDS,Brindisi,Brindisi,Italy
CAG,CAG,Cagliari,Cagliari,Italy
CTA,CTA,Catania Fontanarossa,Catania,Italy
CIY,CIY,Comiso,Comiso,Italy
FLR,FLR,Florence,Florence,Italy
GOA,GOA,Genoa,Genoa,Italy
SUF,SUF,Lamezia Terme,Lamezia Terme,Italy
LIN,MIL,Milan Linate,Milan,Italy
MXP,MIL,Milan Malpensa,Milan,Italy
NAP,NAP,Naples,Naples,Italy
OLB,OLB,Olbia Costa Smeralda,Olbia,Italy
PMO,PMO,Palermo,Palermo,Italy
PEG,PEG,Perugia,Perugia,Italy
PSR,PSR,Pescara,Pescara,Italy
PSA,PSA,Pisa,Pisa,Italy
CIA,ROM,Rome Ciampino,Rome,Italy
FCO,ROM,Rome Fiumicino,Rome,Italy
TPS,TPS,Trapani,Trapani,Italy
TSF,TSF,Treviso,Treviso,Italy
TRS,TRS,Trieste,Trieste,Italy
TRN,TRN,Turin,Turin,Italy
VCE,VCE,Venice,Venice,Italy
VRN,VRN,Verona,Verona,Italy
PRN,PRN,Pristina,Pristina,Kosovo
RIX,RIX,Riga,Riga,Latvia
KUN,KUN,Kaunas,Kaunas,Lithuania
VNO,VNO,Vilnius,Vilnius,Lithuania
LUX,LUX,Luxembourg,Luxembourg,Luxembourg
MLA,MLA,Malta,Malta,Malta
RMO,RMO,Chisinau,Chisinau,Moldova
TGD,TGD,Podgorica,Podgorica,Montenegro
TIV,TIV,Tivat,Tivat,Montenegro
AMS,AMS,Amsterdam,Amsterdam,Netherlands
EIN,EIN,Eindhoven,Eindhoven,Netherlands
GRQ,GRQ,Groningen Airpo,Groningen,Netherlands
MST,MST,Maastricht Aachen,Maastricht,Netherlands
RTM,RTM,Rotterdam The Hague,Rotterdam,Netherlands
SKP,SKP,Skopje,Skopje,North Macedonia
AES,AES,Lesund,Lesund,Norway
BGO,BGO,Bergen,Bergen,Norway
BOO,BOO,Bod,Bod,Norway
HAU,HAU,Haugesund,Haugesund,Norway
KRS,KRS,Kristiansand,Kristiansand,Norway
OSL,OSL,Oslo,Oslo,Norway
TRF,TRF,Sandefjord,Sandefjord,Norway
SVG,SVG,Stavanger,Stavanger,Norway
TOS,TOS,Troms,Troms,Norway
TRD,TRD,Trondheim,Trondheim,Norway
GDN,GDN,Gdansk,Gdansk,Poland
KTW,KTW,Katowice,Katowice,Poland
KRK,KRK,Krakow,Krakow,Poland
POZ,POZ,Poznan,Poznan,Poland
SZZ,SZZ,Szczecin-Goleniow,Szczecin,Poland
WAW,WAW,Warsaw,Warsaw,Poland
WMI,WAW,Warsaw Modlin,Warsaw,Poland
WRO,WRO,Wroclaw,Wroclaw,Poland
FAO,FAO,Faro,Faro,Portugal
LIS,LIS,Lisbon,Lisbon,Portugal
FNC,FNC,Madeira,Madeira,Portugal
PDL,PDL,Ponta Delgada,Ponta Delgada,Portugal
OPO,OPO,Porto,Porto,Portugal
